TAZID,longitude,latitude,charge_count,area,perimeter
1066,113.9103013,22.5212867,40,1577892.982,5119.3013
1068,113.91868,22.5178365,271,1405268.834,5460.2638
1096,113.9199021,22.5314284,70,1074909.185,4437.0676
326,113.9318867,22.5357753,106,1963022.086,6447.5728
1085,113.9257887,22.521524,59,387839.4781,2688.324
1088,113.9241926,22.5126697,290,765505.0295,3724.5077
937,114.5010128,22.4935749,22,33292904.11,37959.511
506,113.9056545,22.5684477,228,3296103.406,7796.8479
1098,113.895982,22.5585447,60,1522271.332,5189.2905
316,113.8955526,22.5370779,4,5513679.088,11176.98
501,113.8862439,22.5510208,47,2835686.366,7877.3746
1074,113.9213878,22.5393958,124,998873.7796,4162.7267
777,114.1276384,22.7094019,221,5007215.483,18370.0512
686,114.0420694,22.7390231,89,4095817.101,8834.7365
682,114.0325789,22.7521838,88,2999728.998,13066.7853
1026,114.0808074,22.634883,77,1981578.967,5713.9732
783,114.100034,22.6456215,24,5209052.488,16379.337
795,114.111686,22.6328506,110,4395377.728,8621.4278
943,114.4177689,22.6309033,21,9124862.302,14879.4286
881,114.3355451,22.6511442,88,49933877,42393.5535
771,114.246134,22.6447536,24,12782458.41,22007.842
891,114.3739663,22.7090945,54,3280787.594,11325.9871
224,114.0697911,22.524168,139,1827878.063,6198.1673
1104,114.0645549,22.5271272,27,476299.8017,3480.0366
408,114.2990789,22.599102,57,4386485.281,13001.8672
406,114.2731971,22.5786871,14,6405791.042,22521.9338
792,114.2233245,22.6569194,6,5066749.67,9724.6104
790,114.229542,22.6721291,40,5068093.869,11431.6289
901,114.3823492,22.7276753,67,6342075.908,10202.1945
904,114.3895914,22.709726,54,4355587.034,8613.2357
887,114.4092459,22.7070725,36,2567051.85,7214.2561
982,114.2091625,22.6419489,18,2691789.038,7113.0473
981,114.1988788,22.6452708,91,975840.3762,4901.057
987,114.2052041,22.6592665,45,1236892.148,4980.1256
900,114.3387673,22.7078591,18,1816683.418,6778.0821
897,114.4011228,22.7454814,35,5361964.366,18807.9718
124,114.1830346,22.5889031,164,26919024.71,25128.1089
773,114.1600098,22.628569,40,5552511.973,12825.0707
979,114.1821338,22.6291721,16,2649581.015,8304.9
986,114.187945,22.6384381,236,769679.6783,3634.2369
988,114.1949584,22.6507244,55,1456138.029,5301.7519
977,114.1928482,22.6584973,29,1550479.033,6397.0175
893,114.3603092,22.7588193,18,4856654.244,12247.6593
895,114.3940215,22.756186,45,4408375.899,8891.0158
972,114.1407987,22.6313934,75,3721386.909,9036.2847
983,114.1706728,22.6406676,17,1888643.732,5705.0197
975,114.1751366,22.6493121,18,1463496.274,5985.9811
984,114.1840988,22.6451509,16,778495.0036,3545.5354
848,114.2932963,22.6814584,12,4956530.57,22413.3337
1049,114.3098597,22.71846,239,2637266.704,7643.4291
1162,114.245934,22.5928983,22,1407688.652,5288.4985
1149,114.2428424,22.5627561,72,1311180.66,5562.7679
1087,113.9304883,22.5127874,70,617467.4387,3330.0106
1090,113.930662,22.5035194,34,542386.481,3181.3699
307,113.9412147,22.499178,187,3207891.135,7782.7606
1094,113.9322779,22.4944229,18,400380.2503,2758.839
804,114.1350699,22.642225,87,2317791.153,6274.082
852,114.2500233,22.6802174,8,3877516.449,14664.6665
1043,114.2051989,22.7019296,68,4562149.5,8984.106
844,114.2768336,22.7636677,91,3940343.881,8250.3926
849,114.2645555,22.7460901,74,3877029.488,8609.9494
858,114.233939,22.7495836,138,5503741.641,11348.3398
855,114.2261388,22.7316059,186,5170043.493,12077.4483
989,114.2207978,22.7123307,132,3962482.638,8443.4017
1011,114.2397213,22.7214867,344,3421698.003,7673.3309
996,114.2352367,22.70435,119,3332901.035,8707.1443
991,114.2252494,22.6937265,25,2042090.685,6723.8525
1076,113.9234355,22.5495803,160,1336615.746,4650.5369
1095,113.9095995,22.5306944,29,969860.7402,3980.1424
1009,114.2513309,22.7295772,223,2328654.219,6744.9157
998,114.2559998,22.7155038,118,2224244.443,6123.8623
347,113.9412139,22.5161759,30,2444494.523,6236.0308
832,114.2882238,22.7296764,76,3001727.259,8076.2424
1081,113.9132483,22.4864233,57,1065595.451,5217.4998
1082,113.9160308,22.494594,33,596987.5753,3438.4864
1083,113.929846,22.486229,52,1494891.273,7064.3429
862,114.2533341,22.6960297,66,7985257.081,12642.715
1000,114.2695041,22.7201862,239,3087207.766,7337.7328
851,114.2759623,22.689778,157,4385532.256,9765.0806
842,114.3105976,22.768462,184,5338909.793,10273.514
1071,113.936237,22.529235,72,1099229.233,4338.1408
1159,114.259908,22.5908549,114,1960140.065,6460.5618
805,114.1292301,22.6536134,40,3998873.92,9830.5667
781,114.1175945,22.6728201,58,2772840.386,8109.9944
332,113.9560467,22.542906,290,3541905.542,10892.7484
1072,113.9454284,22.5302476,108,1174176.943,4442.4486
737,114.0843904,22.6521244,36,3617574.403,8627.699
882,114.2923099,22.6685254,51,5099847.146,10175.0338
883,114.3155959,22.6744926,12,3801552.982,7932.1752
888,114.3332195,22.6785509,174,5537672.589,9316.3411
890,114.3413875,22.6934062,18,2334377.899,6300.1438
903,114.3621213,22.6982229,57,4927031.056,9407.5151
110,114.1433936,22.5490569,179,2139446.673,7196.6595
1143,114.1763862,22.5590023,26,427848.5235,4085.8918
107,114.1303892,22.5448614,95,888716.949,4445.4393
108,114.1315244,22.5540317,39,1268992.177,4624.9846
109,114.1430014,22.5638784,39,3157104.734,8051.7688
123,114.149842,22.5820434,28,3689377.051,9522.7455
1167,114.1452761,22.5992193,446,6133970.501,18053.4776
235,114.0260768,22.575302,43,10820556.2,24877.3276
1168,114.0486637,22.5714721,43,1441848.056,8021.7389
1172,114.0570068,22.5728414,37,1101209.619,4761.0116
1163,114.1095045,22.6026657,18,1075939.2,5286.6765
1138,114.1154418,22.5879868,16,909151.7323,6155.1249
1164,114.1200352,22.5956796,104,1885864.82,6316.2655
1135,114.135305,22.5832631,48,1562618.351,8434.3338
965,114.0986661,22.6168848,129,2314407.81,7063.4493
967,114.1020298,22.5982578,24,2112146.912,6677.5519
969,114.1255489,22.622611,50,3170710.887,7130.9504
966,114.1084762,22.6162418,269,1425854.119,5816.7721
799,114.1179712,22.6121328,97,1586836.276,6331.4115
1166,114.1272491,22.6045936,161,2372233.585,6724.5788
1144,114.1773958,22.5650211,68,1848766.702,6422.5536
1137,114.1224618,22.582148,347,1666308.726,5460.0825
115,114.1142515,22.5683927,23,725085.3164,4897.8817
1124,114.1096291,22.5680221,98,1080545.24,5099.8293
1125,114.1031759,22.5690947,10,708546.5198,3372.5082
208,114.0937672,22.5637052,13,1153273.954,4421.1025
1126,114.1028066,22.5620039,58,567423.9043,3394.5563
1121,114.1042582,22.5559024,37,730623.6121,3785.6008
216,114.0710604,22.5471357,24,1869575.601,7478.0719
215,114.0751443,22.5665463,52,1711875.143,6129.3717
1015,113.88388,22.5138553,120,3169359.988,7559.4103
525,113.8774531,22.5633388,96,1721567.81,5219.8913
502,113.869952,22.5535334,134,2548617.816,6842.3294
310,113.8771239,22.489132,10,4180337.833,8712.3216
1099,114.0446006,22.5164909,18,772798.2404,3707.213
1100,114.0474315,22.524986,69,1056508.867,4376.5473
223,114.0478123,22.5093655,199,2415608.675,7180.3276
309,113.901318,22.4966091,136,7636038.231,13147.1368
311,113.8899698,22.4715428,76,6438287.336,19362.8594
320,113.9180523,22.5617913,25,3289234.902,8135.6553
1092,113.9229613,22.5053336,24,570606.4698,3095.2743
206,114.0652227,22.5374254,239,653157.6518,3521.9589
1062,114.0533499,22.5367345,194,2070174.516,6908.7072
1102,114.0551303,22.5250014,110,1189154.539,4461.4049
1106,114.0396111,22.5286556,22,1266371.368,4911.2637
227,114.0356367,22.5370296,135,1643063.863,5777.1089
1061,114.0534009,22.5463133,176,2035755.887,6325.4674
348,0,0,132,3082857.139,11446.4803
1075,113.9147349,22.5492479,16,1016059.384,4131.9953
1029,113.8039485,22.6389955,36,29682209.72,25724.1136
553,113.8061597,22.6729149,22,3375350.041,8497.3686
552,113.8181987,22.6627703,62,3220526.259,8122.5987
225,114.0042142,22.5330186,20,1576359.218,6120.9709
1111,114.0032613,22.5385451,59,1098863.755,5351.4989
329,113.9816285,22.5448616,257,3338853.123,8176.1868
1112,114.0008405,22.5437917,18,1483434.122,5667.364
226,114.0217977,22.5353876,72,1206559.911,4921.4459
511,113.898589,22.5972584,15,4814293.824,13647.0529
513,113.8732605,22.6045689,270,7294701.075,12584.9552
516,113.8607106,22.6287696,142,1485980.953,5828.7387
1031,113.8365888,22.6337784,266,4911242.789,9786.1921
520,113.8367887,22.5999884,222,3111930.817,7352.3793
217,114.0248974,22.5274329,129,1446921.621,5092.7753
522,113.8473253,22.60986,112,1956536.412,6419.1707
519,113.8578626,22.5950255,273,4604265.238,8854.3041
527,113.8532983,22.5768551,256,2104763.882,6132.2759
559,113.7744037,22.7104822,20,5726523.056,9624.5755
558,113.7800734,22.7319246,28,3927542.045,8189.3687
105,114.1208465,22.5512659,93,772556.6757,3472.0644
104,114.1139865,22.5531308,19,1171733.51,4683.8446
111,114.1277782,22.5637992,85,1762254.322,6156.0443
1130,114.1211777,22.5656276,14,549296.809,3038.1568
1134,114.1303869,22.5739979,58,966811.3611,4643.0377
1119,114.1165598,22.5400585,185,1055931.031,5240.9256
106,114.1218804,22.5442716,114,578717.374,3486.9251
1120,114.1099716,22.5370019,160,1105138.015,4993.4636
102,114.1029615,22.5404129,30,714419.3333,3501.2154
213,114.0899992,22.5390743,74,1726685.513,6408.4087
214,114.0766277,22.5374772,9,1268024.981,4595.687
212,114.0948754,22.5477554,27,797566.5106,3572.0987
205,114.0649412,22.5505466,59,892615.5256,4458.9091
204,114.0622249,22.5635991,57,1111455.492,4519.2385
681,113.9979351,22.632681,18,19582807.76,44371.0454
202,114.0531818,22.556272,57,2044358.687,5688.5707
1110,114.0344981,22.5590078,33,1179422.049,4901.4687
335,113.9878864,22.5796531,363,18322509.38,22022.1969
346,113.9558444,22.6222763,123,35455182.04,37122.9824
628,113.946913,22.6649632,12,12588645.81,19562.2636
715,113.9911197,22.7026902,22,8387250.892,27715.6687
704,114.0207322,22.6245014,141,2667446.69,7542.2302
1107,114.0395543,22.5460257,12,787455.8805,3598.8549
1109,114.0387124,22.5527806,62,743831.3082,3449.8529
1115,114.0243073,22.5531258,62,2249884.217,6047.3355
330,113.9746164,22.5347707,36,2918692.653,8592.7535
1114,114.0177588,22.5414548,51,607885.9242,3215.0265
1113,114.0141223,22.5492901,55,1291398.237,4596.59
1173,114.0663841,22.5738976,44,1288233.389,5875.5566
331,113.9735094,22.5273497,36,2840625.569,9120.979
328,113.9673554,22.5503186,95,2812415.545,8117.6664
333,113.9660719,22.5643747,79,2415248.82,9275.2957
958,113.9352497,22.577107,75,3875149.414,8824.1218
1067,113.9059927,22.5121815,49,1524820.262,5840.3244
324,113.9343582,22.5488898,198,1768189.627,5365.1321
325,113.9468818,22.5397472,64,994567.4101,4109.7808
323,113.9473388,22.5493386,80,1910859.277,5543.0161
343,113.9933508,22.6011359,28,2497138.177,7339.5401
340,113.9575023,22.5885914,23,1507854.982,6029.195
651,113.944034,22.7052575,9,8493110.293,30340.4058
644,113.9708203,22.725623,48,6371874.379,12247.2682
699,114.0311883,22.604308,65,4865650.274,11391.6846
322,113.9464777,22.5600785,99,1237508.471,4476.7488
321,113.9347718,22.560152,44,1270951.606,4570.2598
1060,113.9706847,22.7669572,112,34964720.95,33716.4193
647,113.921144,22.6959365,20,3009237.62,11105.8513
701,114.0388242,22.6145048,12,1937227.779,6423.0088
700,114.0542692,22.6052363,99,3993140.897,8827.1164
508,113.8940346,22.5771533,76,2793041.383,6587.1241
512,113.8835864,22.5867729,158,2388020.447,6230.0719
529,113.8582207,22.61829,48,988491.3026,4061.4337
638,113.8806267,22.7436287,22,7008688.381,17023.4838
656,113.938114,22.7496802,50,2187196.763,6543.4633
716,114.073896,22.6093453,153,3953361.236,10287.7371
528,113.873006,22.5795006,33,1606363.081,5175.1166
526,113.8627012,22.5692318,262,3175053.094,7269.63
570,113.8484558,22.7857587,21,3371908.048,13670.3384
659,113.923065,22.7609014,18,3174568.39,7931.221
578,113.8492161,22.7605488,12,3262042.514,8507.0798
633,113.903928,22.7597704,135,4893360.338,9941.5617
631,113.8758841,22.7726266,40,3518076.274,8817.7611
775,114.0993895,22.68114,52,6156034.79,14881.8362
728,114.0773243,22.7075988,110,2906448.276,9193.1807
575,113.830467,22.7778575,17,3061268.967,7383.3287
576,113.8177097,22.7756745,196,2674997.258,6996.8152
585,113.8147102,22.7581296,12,3455179.415,7751.1877
580,113.8308777,22.7490653,50,3836020.245,8158.3482
568,113.863429,22.8156698,20,3215475.578,8743.0393
687,114.0062001,22.7317906,24,2141080.163,8004.9998
632,113.8848933,22.7899406,30,5147714.723,11720.1593
691,114.0210501,22.7090135,35,2437980.579,8041.8648
690,114.0322207,22.7200269,164,2237162.079,6371.2688
693,114.044487,22.724681,193,2077408.839,5841.5498
719,113.9908938,22.6714713,6,804972.9017,3840.3455
706,114.0548212,22.6336477,30,1620469.203,5810.2154
745,114.0605431,22.6218692,28,1894595.779,5606.8399
744,114.0680249,22.6499856,109,1959295.442,5744.6718
741,114.0675513,22.6615673,53,1730424.55,6748.1897
729,114.080668,22.6819777,39,6670069.766,11514.3675
698,114.0423504,22.6984181,9,1757928.407,5240.8532
751,114.060436,22.6988181,72,3464267.985,7967.6888
731,114.0441322,22.6718846,60,1835070.131,6250.9573
732,114.0541599,22.6754515,43,1776970.564,5255.3801
733,114.0595198,22.6864568,130,2481179.59,7174.9789
703,114.0334084,22.6276944,241,2390710.773,6408.1774
712,114.0303829,22.6643182,62,1698428.457,5725.5441
711,114.0190659,22.6619841,34,1287001.459,4552.2006
710,114.0180311,22.6451242,83,2300824.352,6199.3119
718,114.0019486,22.6659159,15,1409007.192,4689.9141
709,114.0270055,22.6531592,80,1783667.661,5263.5265
705,114.0345154,22.6378896,64,1813268.435,5717.1269
724,114.0082965,22.636608,220,3009520.087,7023.5202
708,114.0434061,22.6552237,31,2314260.281,7930.6674
637,113.8942248,22.7311385,86,2816252.168,7202.4292
643,113.8933497,22.7174889,49,2394926.299,6045.2351
582,113.8410741,22.7228555,38,3932985.579,9728.5705
589,113.8236708,22.7212726,152,3552752.123,7593.7928
584,113.82833,22.7352267,55,2592298.944,6711.4272
592,113.8189383,22.7041182,166,3721212.728,9690.8819
588,113.8087212,22.7267485,222,2727566.75,6521.8358
587,113.8114442,22.741471,211,2884903.761,6882.2666
598,113.8011807,22.6910652,12,2111843.466,6822.822
594,113.7945046,22.727463,48,2044150.527,5825.1986
596,113.7903661,22.687733,66,2972113.241,7335.1002
595,113.7930042,22.7098238,274,3387279.995,7579.4307
577,113.8430321,22.7795733,24,1998027.015,8846.7074
601,113.8526305,22.7194142,62,3716735.43,9999.2932
655,113.8881914,22.7571813,24,2070129.482,6065.6527
802,114.1090482,22.6569476,58,3837343.785,8473.1771
746,114.0728856,22.6230088,115,2192296.906,7932.7135
809,114.122591,22.6900926,68,2206183.516,6278.6549
902,114.3556298,22.7121957,106,4505885.676,9955.6901
974,114.1444839,22.615399,195,3645556.363,8076.6812
1154,114.2244038,22.5512898,22,1234770.188,5454.4691
1156,114.2317571,22.5538725,34,573553.4717,3200.5969
